log_leafP_sitemean,Species,log_leafP
0.34004723,Fagus sylvatica,0.380211242
0.34004723,Pinus nigra,0.322219295
0.34004723,Pinus nigra,0.322219295
0.34004723,Pinus sylvestris,0.301029996
0.34004723,Pinus sylvestris,0.301029996
0.34004723,Quercus faginea,0.380211242
0.34004723,Quercus faginea,0.380211242
0.34004723,Quercus ilex,0.278753601
0.34004723,Quercus ilex,0.278753601
0.34004723,Quercus robur,0.397940009
0.34004723,Quercus robur,0.397940009
0.20531191,Fraxinus excelsior,0.26245109
0.20531191,Acer platanoides,0.214843848
0.20531191,Acer pseudoplatanus,0.247973266
0.20531191,Alnus glutinosa,0.315970345
0.20531191,Calluna vulgaris,-0.013228266
0.20531191,Castanea sativa,0.155336037
0.20531191,Corylus avellana,0.235528447
0.20531191,Crataegus monogyna,0.103803721
0.20531191,Empetrum nigrum,0.033423755
0.20531191,Fagus sylvatica,0.133538908
0.20531191,hippophae rhamnoides,0.173186268
0.20531191,Ilex aquifolium,0.10720997
0.20531191,Larix decidua,0.235528447
0.20531191,Picea sitchensis,0.08278537
0.20531191,Pinus sylvestris,0.290034611
0.20531191,Prunus spinosa,0.328379603
0.20531191,Quercus cerris,0.204119983
0.20531191,Quercus ilex,0.252853031
0.20531191,Quercus petraea,0.149219113
0.20531191,Quercus robur,0.230448921
0.20531191,Ribes uva-crispa,0.26245109
0.20531191,Rubus fruticosus,0.264817823
0.20531191,Salix caprea,0.320146286
0.20531191,Sambucus nigra,0.385606274
0.20531191,Sorbus aucuparia,0.264817823
0.20531191,Swida sanguinea,0.187520721
0.20531191,Taxus baccata,0.330413773
0.20531191,Vaccinium myrtillus,-0.008773924
0.20531191,Vaccinium vitis-idaea,-0.013228266
0.253136205,Fraxinus excelsior,0.204119983
0.253136205,Acer platanoides,0.214843848
0.253136205,Acer pseudoplatanus,0.247973266
0.253136205,Agrostis capillaris,0.342422681
0.253136205,Alnus glutinosa,0.315970345
0.253136205,Anthoxanthum odoratum,0.176091259
0.253136205,Betula pendula,0.204119983
0.253136205,Calluna vulgaris,-0.013228266
0.253136205,Carex flacca,0.146128036
0.253136205,Castanea sativa,0.155336037
0.253136205,Corylus avellana,0.235528447
0.253136205,Crataegus monogyna,0.103803721
0.253136205,Dactylis glomerata,0.447158031
0.253136205,Deschampsia flexuosa,0.255272505
0.253136205,Empetrum nigrum,-0.113509275
0.253136205,Empetrum nigrum,-0.113509275
0.253136205,Fagus sylvatica,0.133538908
0.253136205,Festuca ovina,-0.045757491
0.253136205,Festuca rubra,0.342422681
0.253136205,hippophae rhamnoides,0.173186268
0.253136205,Holcus lanatus,0.51851394
0.253136205,Ilex aquifolium,0.004321374
0.253136205,Larix decidua,0.235528447
0.253136205,Lolium perenne,0.643452676
0.253136205,Lotus corniculatus,0.113943352
0.253136205,Picea sitchensis,0.021189299
0.253136205,Pinus sylvestris,0.201397124
0.253136205,Plantago lanceolata,0.342422681
0.253136205,Poa annua,0.653212514
0.253136205,Prunus spinosa,0.328379603
0.253136205,Quercus ilex,0.235528447
0.253136205,Quercus petraea,0.149219113
0.253136205,Ribes uva-crispa,0.26245109
0.253136205,Rubus fruticosus,0.264817823
0.253136205,Rumex acetosella,0.462397998
0.253136205,Rumex acetosella,0.462397998
0.253136205,Salix caprea,0.320146286
0.253136205,Sambucus nigra,0.385606274
0.253136205,Sorbus aucuparia,0.264817823
0.253136205,Swida sanguinea,0.187520721
0.253136205,Taxus baccata,0.227886705
0.253136205,Tilia cordata,0.369215857
0.253136205,Urtica dioica,0.707570176
0.253136205,Vaccinium myrtillus,-0.008773924
0.253136205,Vaccinium vitis-idaea,-0.107905397
0.156784125,Betula pendula,0.220108088
0.156784125,Betula pendula,0.234685975
0.156784125,Betula pendula,0.152288344
0.156784125,Picea sitchensis,0.08278537
0.156784125,Picea sitchensis,0.08278537
0.156784125,Picea sitchensis,-0.048176965
0.156784125,Pinus sylvestris,0.077973195
0.156784125,Pinus sylvestris,0.112828348
0.156784125,Pinus sylvestris,0.073107097
0.156784125,Pinus sylvestris,0.280274775
0.156784125,Pinus sylvestris,0.311753861
0.156784125,Pinus sylvestris,0.27722708
0.156784125,Prunus spinosa,0.158362492
0.156784125,Prunus spinosa,0.327699425
0.156784125,Prunus spinosa,0.449221191
0.156784125,Quercus cerris,0.204119983
0.156784125,Quercus cerris,0.204119983
0.156784125,Quercus ilex,0.252853031
0.156784125,Quercus ilex,0.252853031
0.156784125,Quercus ilex,0.218360421
0.156784125,Quercus petraea,0.135662603
0.156784125,Quercus petraea,0.129260111
0.156784125,Quercus petraea,0.185636576
0.156784125,Quercus petraea,0.148191197
0.156784125,Quercus robur,0.238882088
0.156784125,Quercus robur,0.219235135
0.156784125,Quercus rubra,0.183744224
0.156784125,Ribes uva-crispa,0.155336037
0.156784125,Ribes uva-crispa,0.347655208
0.156784125,Robinia pseudoacacia,0.189396727
0.156784125,Rubus fruticosus,0.261262869
0.156784125,Rubus fruticosus,0.291516847
0.156784125,Rubus fruticosus,0.243038049
0.156784125,Salix caprea,0.342422681
0.156784125,Salix caprea,0.177055286
0.156784125,Salix caprea,0.320146286
0.156784125,Salix caprea,0.409369471
0.156784125,Sambucus nigra,0.186579672
0.156784125,Sambucus nigra,0.492294658
0.156784125,Sambucus nigra,0.348953547
0.156784125,Sambucus nigra,0.386350312
0.156784125,Sambucus nigra,0.456366033
0.156784125,Sorbus aucuparia,0.145092769
0.156784125,Sorbus aucuparia,0.335123441
0.156784125,Sorbus aucuparia,0.338456494
0.156784125,Sorbus aucuparia,0.205023821
0.156784125,Taxus baccata,0.036096347
0.156784125,Taxus baccata,0.346352974
0.156784125,Taxus baccata,0.077367905
0.156784125,Taxus baccata,0.288919606
0.156784125,Taxus baccata,0.161368002
0.156784125,Taxus baccata,0.352182518
0.156784125,Vaccinium myrtillus,0.012837225
0.156784125,Vaccinium myrtillus,-0.031517051
0.156784125,Vaccinium vitis-idaea,-0.416423418
0.156784125,Vaccinium vitis-idaea,0.045322979
0.156784125,Vaccinium vitis-idaea,-0.106053394
0.156784125,Vaccinium vitis-idaea,-0.086186148
0.156784125,Castanea sativa,0.126023119
0.156784125,Castanea sativa,0.10720997
0.156784125,Castanea sativa,0.22097929
0.156784125,Crataegus monogyna,0.122761818
0.156784125,Crataegus monogyna,0.101517954
0.156784125,Crataegus monogyna,0.108903128
0.156784125,Crataegus monogyna,0.08278537
0.156784125,Empetrum nigrum,-0.350016453
0.156784125,Empetrum nigrum,-0.330993216
0.156784125,Empetrum nigrum,0.123851641
0.156784125,Empetrum nigrum,-0.086186148
0.156784125,Fagus sylvatica,0.101517954
0.156784125,Fagus sylvatica,0.030734616
0.156784125,Fagus sylvatica,0.167317335
0.156784125,Fagus sylvatica,0.217483944
0.156784125,Fraxinus excelsior,-0.060480747
0.156784125,Ilex aquifolium,-0.202963403
0.156784125,Ilex aquifolium,0.126023119
0.156784125,Ilex aquifolium,-0.072287536
0.156784125,Ilex aquifolium,0.196820743
0.156784125,Ilex aquifolium,0.31386722
0.156784125,Ilex aquifolium,0.069421408
0.156784125,Ilex aquifolium,-0.025334821
0.156784125,Ilex aquifolium,-0.13667714
0.156784125,Larix decidua,0.339120045
0.156784125,Larix decidua,0.148191197
0.156784125,Larix decidua,0.193124598
0.156784125,Acer platanoides,0.108339474
0.156784125,Acer platanoides,0.215725664
0.156784125,Acer platanoides,0.234264124
0.156784125,Acer pseudoplatanus,0.183744224
0.156784125,Acer pseudoplatanus,0.228742457
0.156784125,Acer pseudoplatanus,0.283301229
0.156784125,Acer pseudoplatanus,0.287054878
0.156784125,Alnus glutinosa,0.284054558
0.156784125,Alnus glutinosa,0.308919956
0.156784125,Alnus glutinosa,0.381415943
0.156784125,Alnus glutinosa,0.278753601
0.156784125,Arbutus unedo,0.085171611
0.156784125,Arbutus unedo,0.282546591
0.156784125,Arbutus unedo,0.282546591
0.156784125,Calluna vulgaris,-0.045757491
0.156784125,Calluna vulgaris,0.046625211
0.156784125,Calluna vulgaris,-0.052239616
0.156784125,Corylus avellana,0.227886705
0.156784125,Corylus avellana,0.218360421
0.156784125,Corylus avellana,0.252853031
0.156784125,Corylus avellana,0.222716471
0.031105682,Pinus ponderosa,-0.022276395
0.031105682,Pinus ponderosa,-0.119186408
0.178575623,Achillea millefolium,0.465382851
0.178575623,Achillea millefolium,0.544068044
0.178575623,Achillea millefolium,0.648360011
0.178575623,Pinus ponderosa,-0.22184875
0.178575623,Pinus ponderosa,-0.229147988
0.178575623,Pinus ponderosa,-0.397940009
0.178575623,Pinus ponderosa,-0.387216143
0.178575623,Pinus ponderosa,-0.13667714
0.178575623,Pinus ponderosa,-0.15490196
0.178575623,Poa pratensis,0.387389826
0.178575623,Poa pratensis,0.209515015
0.178575623,Poa pratensis,-0.568636236
0.178575623,Poa pratensis,0.164352856
0.178575623,Populus tremuloides,0.193124598
0.178575623,Populus tremuloides,0.193124598
0.178575623,Populus tremuloides,0.170261715
0.178575623,Populus tremuloides,0.170261715
0.057280697,Pinus ponderosa,-0.026872146
0.057280697,Pinus ponderosa,0.11058971
0.057280697,Pinus ponderosa,0.10720997
0.057280697,Pseudotsuga menziesii,0.155336037
0.057280697,Pseudotsuga menziesii,0.021189299
0.057280697,Pseudotsuga menziesii,0.161368002
0.138227672,Pinus ponderosa,-0.013228266
0.15588861,Vaccinium vitis-idaea,0
-0.157034934,Vaccinium calycinum,-0.031517051
-0.157034934,Cheirodendron trigynum,0.049218023
-0.157034934,Ilex anomala,-0.251811973
-0.157034934,Metrosideros polymorpha,-0.292429824
-0.157034934,Metrosideros polymorpha,-0.22184875
-0.157034934,Myrsine lessertiana,-0.193820026
-0.040684704,Vaccinium calycinum,-0.091514981
-0.040684704,Cheirodendron trigynum,0.056904851
-0.040684704,Ilex anomala,-0.13076828
-0.040684704,Metrosideros polymorpha,-0.065501549
-0.040684704,Metrosideros polymorpha,-0.013228266
-0.040684704,Myrsine lessertiana,0
-0.068874531,Vaccinium calycinum,-0.086186148
-0.068874531,Cheirodendron trigynum,0.103803721
-0.068874531,Ilex anomala,-0.148741651
-0.068874531,Metrosideros polymorpha,-0.070581074
-0.068874531,Myrsine lessertiana,-0.142667504
-0.057284488,Vaccinium calycinum,-0.036212173
-0.057284488,Vaccinium calycinum,-0.017728767
-0.057284488,Cheirodendron trigynum,0.045322979
-0.057284488,Cheirodendron trigynum,0.06069784
-0.057284488,Ilex anomala,-0.187086643
-0.057284488,Ilex anomala,-0.173925197
-0.057284488,Metrosideros polymorpha,0.004321374
-0.057284488,Metrosideros polymorpha,0.008600172
-0.057284488,Metrosideros polymorpha,0.033423755
-0.057284488,Myrsine lessertiana,-0.180456064
-0.057284488,Myrsine lessertiana,-0.187086643
-0.166610426,Metrosideros polymorpha,-0.301029996
-0.166610426,Metrosideros polymorpha,-0.22184875
-0.259259695,Ilex anomala,-0.397940009
-0.259259695,Metrosideros polymorpha,-0.698970004
-0.259259695,Metrosideros polymorpha,-0.698970004
-0.259259695,Metrosideros polymorpha,-0.397940009
-0.259259695,Metrosideros polymorpha,-0.15490196
-0.203775052,Dodonaea viscosa,0.146128036
-0.203775052,Metrosideros polymorpha,-1
-0.203775052,Metrosideros polymorpha,-0.397940009
-0.203775052,Myrsine lessertiana,-0.397940009
0.021378383,Vaccinium calycinum,0.033423755
0.021378383,Cheirodendron trigynum,0.155336037
0.021378383,Ilex anomala,-0.13076828
0.021378383,Metrosideros polymorpha,0.008600172
0.021378383,Metrosideros polymorpha,0.053078443
0.021378383,Myrsine lessertiana,0.008600172
-0.349812438,Cheirodendron trigynum,-0.045757491
-0.349812438,Ilex anomala,-0.397940009
-0.349812438,Metrosideros polymorpha,-0.698970004
-0.349812438,Metrosideros polymorpha,-0.397940009
-0.349812438,Metrosideros polymorpha,-1
-0.349812438,Metrosideros polymorpha,-0.698970004
-0.349812438,Metrosideros polymorpha,-0.397940009
-0.349812438,Metrosideros polymorpha,-0.15490196
-0.349812438,Myrsine lessertiana,-0.397940009
-0.033038296,Casuarina equisetifolia,-0.457174573
-0.033038296,Casuarina equisetifolia,-0.442492798
-0.033038296,Casuarina equisetifolia,-0.262012674
-0.033038296,Acacia koa,-0.085128182
-0.033038296,Acacia koa,0.123524981
-0.033038296,Acacia koa,0.171726454
-0.033038296,Cheirodendron trigynum,-0.017728767
-0.033038296,Cheirodendron trigynum,-0.095284455
-0.033038296,Cheirodendron trigynum,-0.040481623
-0.033038296,Grevillea robusta,-0.197226275
-0.033038296,Grevillea robusta,-0.226213555
-0.033038296,Grevillea robusta,-0.197226275
-0.033038296,Lantana camara,0.489255168
-0.033038296,Lantana camara,0.369030222
-0.033038296,Lantana camara,0.465977368
-0.033038296,Leucaena leucocephala,-0.055024092
-0.033038296,Leucaena leucocephala,-0.002613616
-0.033038296,Leucaena leucocephala,0.106190897
-0.033038296,Mangifera indica,0.010299957
-0.033038296,Metrosideros polymorpha,-0.097997109
-0.033038296,Metrosideros polymorpha,0.074084689
-0.033038296,Metrosideros polymorpha,0.012837225
-0.033038296,Ilex anomala,-0.474955193
-0.033038296,Ilex anomala,-0.442492798
-0.033038296,Ilex anomala,-0.341035157
-0.033038296,Myrsine lessertiana,-0.226213555
-0.033038296,Myrsine lessertiana,-0.166852888
-0.033038296,Myrsine lessertiana,-0.195179321
-0.033038296,Psidium guajava,-0.1837587
-0.033038296,Psidium guajava,-0.151195299
-0.033038296,Psidium guajava,-0.086716098
-0.033038296,Vaccinium calycinum,-0.385102784
-0.033038296,Vaccinium calycinum,-0.332547047
-0.033038296,Vaccinium calycinum,-0.400116928
-0.060241375,Casuarina equisetifolia,-0.37675071
-0.060241375,Acacia koa,0.08278537
-0.060241375,Cheirodendron trigynum,-0.050609993
-0.060241375,Grevillea robusta,-0.207608311
-0.060241375,Leucaena leucocephala,0.021189299
-0.060241375,Mangifera indica,-0.004364805
-0.060241375,Metrosideros polymorpha,0.004321374
-0.060241375,Ilex anomala,-0.420216403
-0.060241375,Myrsine lessertiana,-0.193820026
-0.060241375,Psidium guajava,-0.13667714
-0.060241375,Vaccinium calycinum,-0.37675071
-0.218973035,Eschweilera coriacea,-0.318758763
-0.218973035,Eschweilera coriacea,-0.318758763
-0.218973035,Eschweilera coriacea,-0.356547324
-0.218973035,Eschweilera coriacea,-0.207608311
-0.218973035,Eschweilera coriacea,-0.22184875
-0.218973035,Eschweilera coriacea,-0.229147988
-0.218973035,Eschweilera coriacea,-0.167491087
-0.218973035,Inga sp,-0.055517328
-0.218973035,Inga sp,-0.040958608
-0.218973035,Inga sp,-0.060480747
-0.218973035,Lecythis idatimon,-0.251811973
-0.218973035,Lecythis idatimon,-0.318758763
-0.218973035,Micropholis guyanensis,-0.236572006
-0.218973035,Rinorea guianensis,-0.045757491
-0.223550394,Rinorea guianensis,-0.04688804
-0.223550394,Eschweilera coriacea,-0.207421282
-0.223550394,Eschweilera coriacea,-0.218264812
-0.223550394,Eschweilera coriacea,-0.225647229
-0.223550394,Eschweilera coriacea,-0.169828897
-0.223550394,Eschweilera coriacea,-0.356494057
-0.223550394,Eschweilera coriacea,-0.318098703
-0.223550394,Eschweilera coriacea,-0.322716553
-0.223550394,Inga sp,-0.061904219
-0.223550394,Inga sp,-0.054331233
-0.223550394,Inga sp,-0.039570266
-0.223550394,Lecythis idatimon,-0.248578672
-0.223550394,Lecythis idatimon,-0.321015674
-0.223550394,Micropholis guyanensis,-0.234763459
-0.186554733,Pouteria sp,0
-0.186554733,Pouteria sp,0.133538908
-0.124114071,Eschweilera coriacea,-0.187086643
-0.124114071,Eschweilera coriacea,-0.148741651
-0.124114071,Eschweilera coriacea,-0.091514981
-0.124114071,Eschweilera coriacea,-0.075720714
-0.124114071,Helicostylis pedunculata,-0.102372909
-0.124114071,Lecythis idatimon,-0.091514981
-0.106044491,Eschweilera coriacea,-0.188036253
-0.106044491,Eschweilera coriacea,-0.147933948
-0.106044491,Eschweilera coriacea,-0.092670926
-0.106044491,Eschweilera coriacea,-0.074878405
-0.106044491,Helicostylis pedunculata,-0.103292569
-0.106044491,Lecythis idatimon,-0.092670926
-0.175270115,Rinorea guianensis,-0.181000656
-0.175270115,Tetragastris panamensis,-0.21602931
-0.175270115,Tetragastris panamensis,-0.171020248
-0.175270115,Tetragastris panamensis,-0.208793905
-0.175270115,Eschweilera coriacea,-0.223387296
-0.175270115,Eschweilera coriacea,-0.139317384
-0.175270115,Eschweilera sp,-0.171020248
-0.236389069,Rinorea guianensis,-0.304763279
-0.236389069,Rinorea guianensis,-0.158060096
-0.236389069,Sloanea sp,-0.127257051
-0.236389069,Eschweilera sp,-0.177648307
-0.236389069,Eschweilera sp,-0.167743773
-0.236389069,Eschweilera sp,-0.124293582
-0.236389069,Eschweilera sp,-0.167743773
-0.236389069,Eschweilera sp,-0.124293582
-0.236389069,Eschweilera sp,-0.177648307
-0.236389069,Eschweilera sp,-0.139317384
-0.236389069,Lecythis idatimon,-0.327735063
-0.236389069,Lecythis idatimon,-0.291541706
-0.236389069,Lecythis idatimon,-0.323042474
-0.236389069,Lecythis idatimon,-0.295904331
-0.236389069,Licania heteromorpha,-0.309261462
-0.197764877,Eschweilera coriacea,-0.22184875
-0.197764877,Eschweilera coriacea,-0.13667714
-0.197764877,Eschweilera sp,-0.167491087
-0.197764877,Eschweilera sp,-0.13667714
-0.197764877,Eschweilera sp,-0.124938737
-0.197764877,Eschweilera sp,-0.180456064
-0.197764877,Eschweilera sp,-0.180456064
-0.197764877,Eschweilera sp,-0.173925197
-0.197764877,Eschweilera sp,-0.167491087
-0.197764877,Eschweilera sp,-0.124938737
-0.197764877,Lecythis idatimon,-0.292429824
-0.197764877,Lecythis idatimon,-0.327902142
-0.197764877,Lecythis idatimon,-0.292429824
-0.197764877,Lecythis idatimon,-0.318758763
-0.197764877,Licania heteromorpha,-0.30980392
-0.197764877,Rinorea guianensis,-0.301029996
-0.197764877,Rinorea guianensis,-0.161150909
-0.197764877,Rinorea guianensis,-0.180456064
-0.197764877,Sloanea sp,-0.124938737
-0.197764877,Tetragastris panamensis,-0.173925197
-0.197764877,Tetragastris panamensis,-0.214670165
-0.197764877,Tetragastris panamensis,-0.207608311
-0.269012862,Minquartia guianensis,-0.301029996
-0.269012862,Minquartia guianensis,-0.251811973
-0.269012862,Minquartia guianensis,-0.207608311
-0.269012862,Minquartia guianensis,-0.207608311
-0.234481729,Protium sp,-0.188218465
-0.234481729,Protium sp,-0.229386032
-0.234481729,Protium sp,-0.229386032
-0.234481729,Protium sp,-0.163330245
-0.234481729,Minquartia guianensis,-0.252521119
-0.234481729,Minquartia guianensis,-0.207421282
-0.234481729,Minquartia guianensis,-0.298428553
-0.234481729,Minquartia guianensis,-0.211005791
-0.280002935,Chrysophyllum sanguinolentum,-0.431798276
-0.280002935,Chrysophyllum sanguinolentum,-0.346787486
-0.280002935,Chrysophyllum sanguinolentum,-0.420216403
-0.280002935,Chrysophyllum sanguinolentum,-0.142667504
-0.280002935,Eschweilera coriacea,-0.236572006
-0.280002935,Eschweilera coriacea,-0.070581074
-0.280002935,Eschweilera coriacea,-0.207608311
-0.280002935,Eschweilera coriacea,-0.119186408
-0.280002935,Eschweilera coriacea,-0.301029996
-0.280002935,Eschweilera coriacea,-0.259637311
-0.280002935,Eschweilera coriacea,-0.13076828
-0.280002935,Eschweilera coriacea,-0.187086643
-0.280002935,Helicostylis pedunculata,-0.119186408
-0.280002935,Helicostylis pedunculata,-0.026872146
-0.280002935,Helicostylis pedunculata,0.08278537
-0.280002935,Lecythis idatimon,-0.420216403
-0.280002935,Lecythis idatimon,-0.346787486
-0.280002935,Lecythis idatimon,-0.193820026
-0.280002935,Lecythis idatimon,-0.251811973
-0.288684523,Sloanea sp,-0.356547324
-0.288684523,Sloanea sp,-0.327902142
-0.288684523,Sloanea sp,-0.251811973
-0.288684523,Sloanea sp,-0.244125144
-0.288684523,Eschweilera sp,-0.508638306
-0.288684523,Eschweilera sp,-0.494850022
-0.288684523,Eschweilera sp,-0.552841969
-0.288684523,Eschweilera sp,-0.37675071
-0.288684523,Eschweilera sp,-0.508638306
-0.288684523,Eschweilera sp,-0.37675071
-0.288684523,Eschweilera sp,-0.15490196
-0.288684523,Eschweilera sp,-0.26760624
-0.288684523,Eschweilera sp,-0.004364805
-0.288684523,Eschweilera sp,-0.080921908
-0.288684523,Eschweilera sp,-0.26760624
-0.288684523,Eschweilera sp,-0.113509275
-0.288684523,Inga sp,-0.301029996
-0.288684523,Inga sp,-0.207608311
-0.138022708,Trichilia sp,0.115417869
-0.138022708,Trichilia sp,0.083825003
-0.138022708,Trichilia sp,0.127108966
-0.138022708,Guatteria sp,-0.242413197
-0.138022708,Guatteria sp,-0.304532666
-0.138022708,Guatteria sp,-0.201915224
-0.138022708,Guatteria sp,-0.258129172
-0.138022708,Helicostylis pedunculata,0.008467526
-0.138022708,Miconia sp,-0.096337973
-0.138022708,Ocotea sp,-0.152150646
-0.134410743,Guatteria sp,-0.244125144
-0.134410743,Guatteria sp,-0.200659451
-0.134410743,Guatteria sp,-0.301029996
-0.134410743,Guatteria sp,-0.259637311
-0.134410743,Helicostylis pedunculata,0.008600172
-0.134410743,Miconia sp,-0.096910013
-0.134410743,Ocotea sp,-0.15490196
-0.134410743,Trichilia sp,0.08278537
-0.134410743,Trichilia sp,0.113943352
-0.134410743,Trichilia sp,0.127104798
-0.039636688,Dialium guianense,-0.008773924
-0.039636688,Dialium guianense,-0.102372909
-0.039636688,Eschweilera coriacea,-0.119186408
-0.039636688,Jacaranda copaia,-0.091514981
-0.039636688,Minquartia guianensis,0.173186268
-0.039636688,Minquartia guianensis,-0.031517051
-0.039636688,Minquartia guianensis,0.184691431
0.047521102,Pouteria sp,-0.057786225
0.047521102,Pouteria sp,0.149566899
0.047521102,Protium sp,-0.105841503
0.047521102,Protium sp,-0.116673322
0.047521102,Protium sp,-0.130604418
0.047521102,Protium sp,-0.165983817
0.047521102,Protium sp,0.02084172
0.047521102,Protium sp,-0.016695255
0.047521102,Protium sp,0.002478654
0.047521102,Protium sp,0.134453469
0.047521102,Protium sp,0.0403739
0.047521102,Protium sp,-0.172171083
0.047521102,Protium sp,0.342942826
0.047521102,Virola sp,-0.122192252
0.047521102,Virola sp,-0.092670926
0.047521102,Virola sp,-0.036754941
0.047521102,Eschweilera sp,0.258088511
0.047521102,Eschweilera sp,0.513162673
0.047521102,Eschweilera sp,0.503408472
-0.217445716,Jacaranda copaia,-0.366531544
-0.217445716,Mangifera indica,-0.522878745
-0.217445716,Jacaranda copaia,-0.366531544
-0.217445716,Mangifera indica,-0.096910013
-0.217445716,Jacaranda copaia,0
-0.217445716,Jacaranda copaia,0
-0.217445716,Pinus taeda,-0.113509275
-0.217445716,Pinus taeda,-0.508638306
-0.217445716,Pinus taeda,-0.113509275
-0.191384404,Chrysophyllum sanguinolentum,-0.327902142
-0.191384404,Chrysophyllum sanguinolentum,-0.244125144
-0.191384404,Chrysophyllum sanguinolentum,-0.37675071
-0.191384404,Eschweilera sp,-0.096910013
-0.191384404,Inga sp,-0.27572413
-0.191384404,Jacaranda copaia,-0.26760624
-0.191384404,Jacaranda copaia,-0.180456064
-0.191384404,Licania heteromorpha,-0.187086643
-0.191384404,Licania heteromorpha,-0.26760624
-0.191384404,Licania heteromorpha,-0.113509275
-0.191384404,Micropholis guyanensis,-0.236572006
-0.191384404,Micropholis guyanensis,-0.356547324
-0.191384404,Micropholis guyanensis,-0.214670165
-0.191384404,Protium sp,-0.080921908
-0.191384404,Rinorea guianensis,-0.387216143
-0.191384404,Scleronema micranthum,-0.15490196
-0.191384404,Scleronema micranthum,-0.055517328
-0.191384404,Scleronema micranthum,-0.244125144
-0.191384404,Scleronema micranthum,-0.337242168
-0.191384404,Scleronema micranthum,-0.244125144
-0.191384404,Swartzia sp,-0.397940009
-0.191384404,Virola calophylla,-0.193820026
-0.26876549,Scleronema micranthum,-0.145930254
-0.26876549,Eschweilera coriacea,-0.319923763
-0.26876549,Eschweilera coriacea,-0.277481806
-0.26876549,Eschweilera coriacea,-0.257721235
-0.26876549,Eschweilera coriacea,-0.328933586
-0.26876549,Eschweilera coriacea,-0.342808781
-0.26876549,Eschweilera coriacea,-0.319923763
-0.26876549,Eschweilera coriacea,-0.21367019
-0.26876549,Eschweilera coriacea,-0.298184529
-0.26876549,Micropholis guyanensis,-0.408654006
-0.26876549,Minquartia guianensis,-0.273457108
-0.234288841,Eschweilera bracteosa,-0.251811973
-0.234288841,Minquartia guianensis,-0.408935393
-0.234288841,Tetragastris panamensis,-0.244125144
-0.234288841,Tetragastris panamensis,-0.251811973
-0.234288841,Tetragastris panamensis,-0.259637311
-0.211345734,Tetragastris panamensis,-0.246774136
-0.211345734,Tetragastris panamensis,-0.261831054
-0.211345734,Tetragastris panamensis,-0.25423735
-0.211345734,Chrysophyllum sanguinolentum,-0.228658652
-0.211345734,Eschweilera bracteosa,-0.254296429
-0.211345734,Minquartia guianensis,-0.41121062
-0.322075595,Chrysophyllum sanguinolentum,-0.337242168
-0.322075595,Micrandra spruceana,-0.26760624
-0.322075595,Micrandra spruceana,-0.15490196
-0.322075595,Micrandra spruceana,-0.27572413
-0.365646455,Pouteria sp,-0.48136529
-0.365646455,Scleronema micranthum,-0.254296429
-0.365646455,Swartzia sp,-0.416628393
-0.365646455,Swartzia sp,-0.265732792
-0.365646455,Swartzia sp,-0.281465362
-0.365646455,Swartzia sp,-0.285489191
-0.365646455,Guatteria sp,-0.355525152
0.046884089,Pourouma guianensis,0.065118049
0.046884089,Pourouma guianensis,0.116963298
0.046884089,Pourouma guianensis,0.049677511
0.046884089,Pourouma guianensis,0.014150769
0.046884089,Pourouma guianensis,0.085294322
0.046884089,Pourouma guianensis,0.072820666
0.046884089,Erisma uncinatum,-0.231134557
0.046884089,Erisma uncinatum,-0.20686342
0.046884089,Erisma uncinatum,-0.205983953
-0.013173679,Pourouma guianensis,-0.069096127
-0.013173679,Pourouma guianensis,0.020478617
-0.013173679,Pourouma guianensis,0.065602258
-0.013173679,Pourouma guianensis,0.059487396
-0.013173679,Pouteria sp,-0.000165059
-0.124916183,Pseudolmedia laevis,-0.032049748
-0.124916183,Pseudolmedia laevis,-0.040589257
-0.124916183,Pseudolmedia macrophylla,-0.186842618
-0.124916183,Erisma uncinatum,-0.257775436
-0.124916183,Erisma uncinatum,-0.242720548
-0.124916183,Miconia sp,-0.113519907
-0.102240395,Pourouma guianensis,0.194233525
-0.102240395,Pourouma guianensis,-0.041325617
-0.102240395,Pseudolmedia laevis,-0.141184913
-0.102240395,Pseudolmedia laevis,-0.143426076
-0.102240395,Pseudolmedia laevis,0.051171874
-0.102240395,Pseudolmedia macrophylla,-0.211296609
-0.102240395,Pseudolmedia macrophylla,-0.111396313
-0.102240395,Pseudolmedia macrophylla,0.060370062
-0.102240395,Erisma uncinatum,-0.365621309
-0.102240395,Erisma uncinatum,-0.294351667
-0.102240395,Erisma uncinatum,-0.271815731
-0.102240395,Erisma uncinatum,-0.265560024
-0.102240395,Erisma uncinatum,-0.334382625
-0.102240395,Erisma uncinatum,-0.308600466
0.00950178,Miconia sp,-0.049683432
0.00950178,Miconia sp,-0.00870419
0.00950178,Miconia sp,-0.02243436
-0.059358923,Pourouma guianensis,0.008867645
-0.059358923,Pourouma guianensis,0.063977285
-0.059358923,Pourouma guianensis,0.077005676
-0.059358923,Pourouma guianensis,0.080180634
-0.059358923,Pourouma guianensis,0.162070452
-0.059358923,Pourouma guianensis,0.097413929
-0.059358923,Pseudolmedia macrophylla,-0.146308053
-0.059358923,Pseudolmedia macrophylla,-0.112068198
-0.059358923,Pseudolmedia macrophylla,-0.044688243
-0.059358923,Erisma uncinatum,-0.309820548
-0.059358923,Erisma uncinatum,-0.289884878
-0.059358923,Erisma uncinatum,-0.280836753
